project,volume
SuperRare,1328388.883191
X2Y2,664546.1198679687
Magic Eden,7968760.050467411
CryptoPunks,2651851.5319
Others,66087.09708940629
Foundation,133563.9205551
OpenSea,14619912.701182712
OpenSea Pro,859630.4125168736
LooksRare,65075.01401919592
Blur,70273969.22676337
Sudoswap,409485.85546544346
Nifty Gateway,53609.13
