project,volume
Magic Eden,7662091.442718815
Foundation,134503.20895459998
CryptoPunks,3700206.5596
Sudoswap,365009.91706220736
X2Y2,661901.8053301687
OpenSea Pro,843878.4405559393
SuperRare,90166.97390359303
Blur,66464897.8700397
OpenSea,13352487.970170975
Others,141784.67516732693
LooksRare,57932.98138263312
